"","merged_dataA[, 1]"
"MMP10",4.43323548632233
"MAPKAPK2",7.36387312502584
"FUT3",7.50518110287366
"DHX9",6.77365266098016
"POLA2",6.67900923087877
"PPP2R2A",5.79089383589152
"NUP214",6.64471203464925
"CHD2",6.46247313983208
"PYGL",7.8482491825291
"AGFG2",6.4956436295226
"CDIPT",10.7097232714999
"APOOL",6.65569062218129
"PEMT",7.32222768479301
"STX16",7.44359679489247
"FEN1",7.4451704673036
"FMO1",8.1931296109552
"KIAA0226",6.62938117352131
"KIF22",7.22480908053088
"GRIK2",6.12506867570023
"TNPO1",9.01896579057835
"ZKSCAN5",6.98222097246614
"WHSC1",6.02879012335928
"MTRR",6.16289736842278
"CA6",5.56459487045536
"FANCC",7.10568064601196
"PMCH",5.20783545625746
"DPH2",6.92880419458772
"EZR",8.93969154502137
"NIPBL",6.46435390932845
"SH3GL3",5.00658699930639
"GOLIM4",5.6962615254631
"ST8SIA3",4.33284680578359
"DYNC2LI1",7.39353269304536
"HSD17B1",6.50011456659569
"ZMYM2",7.37495890822101
"PDCD6",8.02060494958009
"PTPN6",8.46458239020544
"LILRB4",7.19889883605639
"IFNA16",4.35256942787457
"ARHGAP29",4.8289039763707
"GARS",7.96161648202494
"CHRNA5",4.53682885753385
"FAM32A",8.47498970712596
"NMI",7.54124014253492
"CORO1A",9.06132161512002
"RAB27A",7.04051492933642
"ARFRP1",8.45180342880566
"HECTD4",6.15177629738781
"PTPRF",7.82324724063014
"NAMPT",8.71391400772556
"RYK",7.28727945524011
"LAIR2",6.49854920212871
"AKAP8L",7.65229106606701
"SIGLEC7",6.87061325381089
"OGT",8.25013958084227
"RRP8",5.17425184219363
"DXO",7.52957006357704
"CMKLR1",6.74059898036515
"NINJ1",8.86069545042246
"RBM4B",7.60845124616529
"MARCO",6.98943574193845
"HABP4",7.75202474570429
"CP",7.10215750170464
"ARPC4 /// ARPC4-TTLL3 /// TTLL3",8.00320353968732
"RFX2",6.23242783236969
"PDE6B",5.94458556027745
"NOVA2",6.16849192030256
"CSF2RA",5.76632238681156
"CELF2",8.51209199598007
"ATP2C2",7.47349962860825
"PSMB3",8.56667626136853
"SPPL2B",7.19892999401894
"SMARCA1",5.23462656966839
"AP4E1",5.70138322242792
"PIM2",7.73113670602391
"SSPN",5.28479605475388
"GLRA2",8.59878921444821
"IL12RB2",4.85833391991312
"PEX13",4.58776779940456
"ALOX5",7.03786512785156
"NR6A1",6.99230699409099
"TRIM2",7.61799260621906
"ATP6V0E2",8.8895782055449
"IMPDH1",8.35487823466978
"GRHPR",8.0665946986066
"SLC6A2",6.12287857119896
"DLEC1",7.24477081327437
"GIPC1",8.02128716218051
"NFIB",6.98339451106754
"ZNF81",5.63529551934434
"LMO2",7.96420274089505
"MFHAS1",8.50678614209143
"KLHDC10",7.52367571654493
"TTTY2 /// TTTY2B",7.31099433286202
"ZFPL1",6.39880275475798
"MAP3K9",6.57348916628844
"MEF2C",6.82592906098672
"UBAP2L",5.55238862112774
"RNF24",7.65206416468451
"CD2BP2",7.80018316312659
"HPD",9.42701510117382
"SPI1",6.45214073720176
"ILVBL",7.50765419142069
"CDON",6.86978722614406
"S100P",7.69111564225187
"SOX11",4.0703474855457
"TMEM151B",6.25091369615924
"MAPK8",6.8230102102127
"FBXW11",6.26910175502088
"TFAP2B",7.19608488447766
"IL3",6.30008871916018
"SAP30",7.05296561565136
"ZFY",5.58559287556747
"GNG5",9.65324166358929
"NCR3",7.35659469790089
"USP32 /// USP6",6.84439099545258
"NR4A3",6.35866279444165
"ELL",7.83483590544526
"STMN1",6.8389031817145
"FAM208A",6.42630199274381
"SET /// SETSIP",9.27904569822921
"TNFRSF10C",6.90365526031007
"MCAM /// MIR6756",6.57302231288647
"GRIA1",5.95892587186947
"CALB1",7.22696898032549
"AUTS2",6.80503526377275
"TRIM10",6.27013274111536
"TICAM1",6.79783053767814
"MAT1A",7.55152817046214
"RAPGEF2",7.93360130132215
"CDS1",6.30416979898209
"CTPS1",5.44339056070884
"TENM1",5.44844283466633
"SCAI",4.84638146647075
"ZFR",5.99671293184548
"SLC30A1",5.98236000531169
"PCDH9",6.41698134320878
"CCNT1",7.28204332576576
"PCDHA2 /// PCDHA3",6.23222043832172
"RRAS2",5.37785001694
"SOX15",8.81639377397529
"SLC3A2",9.32948976984212
"RHOB",7.42722322468271
"SOGA1",4.67942469620969
"ATP10A",6.86889854665047
"ZNF207",6.78474850911589
"TATDN2",6.20599289412574
"FXYD3",6.62139847237026
"BICD1",5.09359595229327
"HNRNPH1",6.585082915403
"DYNLT1",9.87465458815146
"CTTN",8.10212846247573
"ARNT",6.44351732006936
"ELAC2",6.9077861955729
"CAMTA1",4.70030318348244
"CD8A",7.44834847073607
"IFITM2",10.7077213966097
"BAIAP2",7.52049913229622
"IDO1",6.96356146618619
"LOC100996668 /// ZEB1",7.16556243856601
"DMXL2",6.81377740533977
"C5orf22",5.88230056524088
"DCT",5.38316333371169
"LOC101930150 /// NF1",6.24169318442785
"RALGPS1",5.30340228821903
"MTAP",4.43821567308393
"FKBP15",7.29791474447769
"GRIK5",6.46412316688665
"SLC4A7",6.38228197525555
"TP73-AS1",6.59769828221393
"GPT",8.48106776652055
"SYT1",5.53671754657623
"GLE1",6.89572684738107
"ATP1A2",5.30030930868117
"NCR2",8.00814616513243
"MLLT10",5.59113986411895
"ICMT",8.21388795245039
"JAK3",7.80189074038081
"FPGS",7.94321016646466
"KCNN3",7.71861273100133
"STAT5B",7.93066135340485
"TUBGCP4",7.42207197045513
"EPHA7",4.46713561301632
"GPR6",8.07529428659674
"RAD21",8.3645355808149
"ACACB",6.88669491929197
"SH3GLB1",8.08410182701708
"IPO8",6.33830371071927
"FOSB",7.39308925224976
"FBXO28",7.58430487991913
"CHKB",7.79101376753943
"ATN1",7.61510561146714
"HARS2",7.36268873851162
"YPEL1",7.39997423343868
"IL12RB1",7.5266732179682
"IFNA2",5.35721855853715
"IFITM1",11.1689314543226
"NKG7",7.93454777898981
"STX8",6.85896036072551
"PDPN",6.51540914171587
"DHX30",7.12817773206627
"PPFIA3",7.25446003323114
"FES",6.76055238578483
"U2AF1",7.09637385146092
"BLVRA",5.8563609933613
"SRPK1",6.46876941795051
"SLC17A1",8.3891213527258
"HGF",5.12672050040145
"RQCD1",6.32003969436774
"CYP1A1",5.88137509277914
"VWA5A",6.5652415425895
"DNAJA1",9.216020332274
"ZBTB17",7.3558463922433
"MYD88",9.44383708604086
"POT1",5.5794995025515
"G3BP1",6.48619345609624
"SNRPE",5.69711526999509
"DUSP10",5.79440313917005
"LYST",6.76048200430943
"FAM50B",7.15919708194968
"ZNF688",6.53419642267129
"ATF6",8.17405617825977
"CACTIN",7.102590842858
"TCTN3",6.95770765022531
"GTPBP10 /// LOC101927446",3.41809161194626
"ATP5D",8.82716105980199
"FKBP1B",7.86048905385542
"PHTF2",5.84712936196874
"AP3B1",7.42958883501083
"C1orf21",5.49058618969838
"SAT1",9.94555900046858
"ARPC1B",9.80674514237957
"NAV3",5.64384289031192
"TACC2",5.5047396701557
"BNIP3",6.55439212962468
"ABCF2",6.38181362107408
"TMEM106C",7.47717961301131
"RCAN2",6.84315043126594
"MED1",7.6541384962928
"MAPK14",6.4048909016124
"INADL",5.50577715378882
"LONRF1",5.97434793962962
"CYP2B6 /// CYP2B7P",7.51081367911611
"HIRIP3",6.62250583023213
"FAM20B",7.36064751405564
"IGLV1-44",6.450263463129
"RNPEP",8.41837773572369
"ATP6V1H",7.15057212213957
"MAP4K1",7.4753072096658
"FASLG",6.70963690579096
"SLC16A5",7.78704015362487
"SERPINC1",5.21850110587477
"STK11",8.58155927342283
"GYG1",7.63492499258645
"GAS7",6.45466287941377
"VAMP5",6.28864377095709
"CHD1L",6.8621771245942
"DHPS",8.97360906126128
"TNNT3",8.1024794249874
"VPS13D",6.89202801887193
